buggybay,,Planetary Vehicle Hangar,
cargorack,,Cargo Rack,
collection,,Collector Limpet Controller,
fsdinterdictor,,Frame Shift Drive Interdictor,
fuelscoop,,Fuel Scoop,
fueltransfer,,Fuel Transfer Limpet Controller,
hullreinforcement,,Hull Reinforcement Package,
prospector,,Prospector Limpet Controller,
refinery,,Refinery,
repairer,,Auto Field-Maintenance Unit,
resourcesiphon,,Hatch Breaker Limpet Controller,
shieldcellbank,,Shield Cell Bank,
shieldgenerator,,Shield Generator,
shieldgenerator,fast,Bi-Weave Shield Generator,
shieldgenerator,strong,Prismatic Shield Generator,
