adder,,Adder,
anaconda,,Anaconda,
asp,,Asp Explorer,
asp_scout,,Asp Scout,
cobramkiii,,Cobra MkIII,
cobramkiv,,Cobra MkIV,
cutter,,Imperial Cutter,
diamondback,,Diamondback Scout,
diamondbackxl,,Diamondback Explorer,
eagle,,Eagle,
empire_courier,,Imperial Courier,
empire_eagle,,Imperial Eagle,
empire_fighter,,Imperial Fighter,
empire_trader,,Imperial Clipper,
federation_corvette,,Federal Corvette,
federation_dropship,,Federal Dropship,
federation_dropship_mkii,,Federal Assault Ship,
federation_gunship,,Federal Gunship,
federation_fighter,,F63 Condor,
ferdelance,,Fer-de-Lance,
hauler,,Hauler,
independant_trader,,Keelback,
orca,,Orca,
python,,Python,
sidewinder,,Sidewinder,
type6,,Type-6 Transporter,
type7,,Type-7 Transporter,
type9,,Type-9 Heavy,
viper,,Viper MkIII,
viper_mkiv,,Viper MkIV,
vulture,,Vulture,
