advancedtorppylon,,Torpedo Pylon,
basicmissilerack,,Missile Rack,
beamlaser,,Beam Laser,
beamlaser,heat,Retributor Beam Laser,
cannon,,Cannon,
drunkmissilerack,,Pack-Hound Missile Rack,
dumbfiremissilerack,,Missile Rack,
minelauncher,,Mine Launcher,
minelauncher,impulse,Shock Mine Launcher,
mininglaser,,Mining Laser,
mininglaser,advanced,Mining Lance Beam Laser,
multicannon,,Multi-Cannon,
multicannon,strong,Enforcer Cannon,
plasmaaccelerator,,Plasma Accelerator,
plasmaaccelerator,advanced,Advanced Plasma Accelerator,
pulselaser,,Pulse Laser,
pulselaser,disruptor,Pulse Disruptor Laser,
pulselaserburst,,Burst Laser,
pulselaserburst,scatter,Cytoscrambler Burst Laser,
railgun,,Rail Gun,
railgun,burst,Imperial Hammer Rail Gun,
slugshot,,Fragment Cannon,
slugshot,range,Pacifier Frag-Cannon,
